,Time,ID,value,private_data
207,2022-12-13 01:39:24.657,3,League of Legends.exe,0
208,2022-12-13 01:40:21.659,2,Nilah ARAM Build - U.GG Nilah Runes + Item Guide for ARAM — Mozilla Firefox,0
209,2022-12-13 01:40:21.659,3,firefox.exe,0
210,2022-12-13 01:40:21.659,4,MozillaWindowClass,0
211,2022-12-13 01:40:21.659,5,\DISPLAY1,0
212,2022-12-13 01:40:24.659,2,League of Legends (TM) Client,0
213,2022-12-13 01:40:24.659,3,League of Legends.exe,0
214,2022-12-13 01:40:24.659,4,RiotWindowClass,0
215,2022-12-13 01:40:24.659,5,\DISPLAY1,0
216,2022-12-13 01:41:36.665,5,\DISPLAY1,0
217,2022-12-13 01:41:36.665,4,MozillaWindowClass,0
218,2022-12-13 01:41:36.665,3,firefox.exe,0
219,2022-12-13 01:41:36.665,2,"(81) AMD's Greedy Upsell: RX 7900 XT Review & Benchmarks vs. XTX, 4080, & More - YouTube — Mozilla Firefox",0
220,2022-12-13 01:41:39.665,2,League of Legends (TM) Client,0
221,2022-12-13 01:41:39.665,3,League of Legends.exe,0
222,2022-12-13 01:41:39.665,4,RiotWindowClass,0
223,2022-12-13 01:41:39.665,5,\DISPLAY1,0
224,2022-12-13 01:52:33.699,5,\DISPLAY1,0
225,2022-12-13 01:52:33.699,2,(81) Tearing Apart the AMD RX 7900 XTX Reference GPU - YouTube — Mozilla Firefox,0
226,2022-12-13 01:52:33.699,3,firefox.exe,0
227,2022-12-13 01:52:33.699,4,MozillaWindowClass,0
228,2022-12-13 01:52:54.700,5,\DISPLAY1,0
229,2022-12-13 01:52:54.700,4,RCLIENT,0
230,2022-12-13 01:52:54.700,3,LeagueClientUx.exe,0
231,2022-12-13 01:52:54.700,2,League of Legends,0
232,2022-12-13 01:53:54.709,2,Nilah ARAM Build - U.GG Nilah Runes + Item Guide for ARAM — Mozilla Firefox,0
233,2022-12-13 01:53:54.709,3,firefox.exe,0
234,2022-12-13 01:53:54.709,4,MozillaWindowClass,0
235,2022-12-13 01:53:54.709,5,\DISPLAY1,0
236,2022-12-13 01:54:00.709,4,RCLIENT,0
237,2022-12-13 01:54:00.709,5,\DISPLAY1,0
238,2022-12-13 01:54:00.709,2,League of Legends,0
239,2022-12-13 01:54:00.709,3,LeagueClientUx.exe,0
240,2022-12-13 01:55:00.718,2,Aphelios ARAM Build - U.GG Aphelios Runes + Item Guide for ARAM — Mozilla Firefox,0
241,2022-12-13 01:55:00.718,3,firefox.exe,0
242,2022-12-13 01:55:00.718,4,MozillaWindowClass,0
243,2022-12-13 01:55:00.718,5,\DISPLAY1,0
244,2022-12-13 01:55:03.719,5,\DISPLAY1,0
245,2022-12-13 01:55:03.719,2,League of Legends (TM) Client,0
246,2022-12-13 01:55:03.719,3,League of Legends.exe,0
247,2022-12-13 01:55:03.719,4,RiotWindowClass,0
248,2022-12-13 01:55:09.719,5,\DISPLAY1,0
249,2022-12-13 01:55:09.719,4,MozillaWindowClass,0
250,2022-12-13 01:55:09.719,2,(81) 10 Hours Of Wii Theme Music (Mii Song) - YouTube — Mozilla Firefox,0
251,2022-12-13 01:55:09.719,3,firefox.exe,0
252,2022-12-13 01:55:15.719,2,League of Legends (TM) Client,0
253,2022-12-13 01:55:15.719,3,League of Legends.exe,0
254,2022-12-13 01:55:15.719,4,RiotWindowClass,0
255,2022-12-13 01:55:15.719,5,\DISPLAY1,0
256,2022-12-13 02:03:12.747,5,\DISPLAY1,0
257,2022-12-13 02:03:12.747,2,Aphelios ARAM Build - U.GG Aphelios Runes + Item Guide for ARAM — Mozilla Firefox,0
258,2022-12-13 02:03:12.747,3,firefox.exe,0
259,2022-12-13 02:03:12.747,4,MozillaWindowClass,0
260,2022-12-13 02:03:15.747,5,\DISPLAY1,0
261,2022-12-13 02:03:15.747,4,RiotWindowClass,0
262,2022-12-13 02:03:15.747,2,League of Legends (TM) Client,0
263,2022-12-13 02:03:15.747,3,League of Legends.exe,0
264,2022-12-13 02:14:33.781,5,\DISPLAY1,0
265,2022-12-13 02:14:33.781,2,"Aphelios Build for ADC with Highest Winrate - LoL Runes, Items — Mozilla Firefox",0
266,2022-12-13 02:14:33.781,3,firefox.exe,0
267,2022-12-13 02:14:33.781,4,MozillaWindowClass,0
268,2022-12-13 02:14:48.783,3,LeagueClientUx.exe,0
269,2022-12-13 02:14:48.783,4,RCLIENT,0
270,2022-12-13 02:14:48.783,2,League of Legends,0
271,2022-12-13 02:14:48.783,5,\DISPLAY1,0
272,2022-12-13 02:31:46.776,5,\DISPLAY1,0
273,2022-12-13 02:31:46.776,4,MozillaWindowClass,0
274,2022-12-13 02:31:46.776,3,firefox.exe,0
275,2022-12-13 02:31:46.776,2,"Aphelios Build for ADC with Highest Winrate - LoL Runes, Items — Mozilla Firefox",0
276,2022-12-13 02:42:55.851,2,esrv.exe,0
277,2022-12-13 02:42:55.851,3,VsDebugConsole.exe,0
278,2022-12-13 02:42:55.851,4,ConsoleWindowClass,0
279,2022-12-13 02:42:55.851,5,\DISPLAY1,0
280,2022-12-13 02:43:07.854,2,(81) Why the US Military is Allowed to Have Bases All Over the World - YouTube — Mozilla Firefox,0
281,2022-12-13 02:43:07.854,3,firefox.exe,0
282,2022-12-13 02:43:07.854,4,MozillaWindowClass,0
283,2022-12-13 02:43:07.854,5,\DISPLAY1,0
284,2022-12-13 02:44:19.859,5,\DISPLAY1,0
285,2022-12-13 02:44:19.859,4,Windows.UI.Core.CoreWindow,0
286,2022-12-13 02:44:19.859,2,Date and Time Information,0
287,2022-12-13 02:44:19.859,3,ShellExperienceHost.exe,0
288,2022-12-13 02:44:25.860,2,Date Duration Calculator: Days Between Dates — Mozilla Firefox,0
289,2022-12-13 02:44:25.860,3,firefox.exe,0
290,2022-12-13 02:44:25.860,4,MozillaWindowClass,0
291,2022-12-13 02:44:25.860,5,\DISPLAY1,0
292,2022-12-13 02:44:37.861,2,Date and Time Information,0
293,2022-12-13 02:44:37.861,3,ShellExperienceHost.exe,0
294,2022-12-13 02:44:37.861,4,Windows.UI.Core.CoreWindow,0
295,2022-12-13 02:44:37.861,5,\DISPLAY1,0
296,2022-12-13 02:44:40.861,5,\DISPLAY1,0
297,2022-12-13 02:44:40.861,4,MozillaWindowClass,0
298,2022-12-13 02:44:40.861,2,Date Duration Calculator: Days Between Dates — Mozilla Firefox,0
299,2022-12-13 02:44:40.861,3,firefox.exe,0
300,2022-12-13 02:46:46.877,2,Search,0
301,2022-12-13 02:46:46.877,3,SearchApp.exe,0
302,2022-12-13 02:46:46.877,4,Windows.UI.Core.CoreWindow,0
303,2022-12-13 02:46:46.877,5,\DISPLAY1,0
304,2022-12-13 02:46:52.877,5,\DISPLAY1,0
305,2022-12-13 02:46:52.877,2,MailUpd — Mozilla Firefox,0
306,2022-12-13 02:46:52.877,3,firefox.exe,0
307,2022-12-13 02:46:52.877,4,MozillaWindowClass,0
308,2022-12-13 02:48:25.890,5,\DISPLAY1,0
309,2022-12-13 02:48:25.890,4,ApplicationManager_DesktopShellWindow,0
310,2022-12-13 02:48:25.890,2,,0
311,2022-12-13 02:48:25.890,3,explorer.exe,0
312,2022-12-13 02:48:28.890,4,#32770,0
313,2022-12-13 02:48:28.890,2,Cisco AnyConnect | vpn.ucsd.edu,0
314,2022-12-13 02:48:28.890,3,vpnui.exe,0
315,2022-12-13 02:48:28.890,5,\DISPLAY1,0
316,2022-12-13 02:48:37.891,5,\DISPLAY1,0
317,2022-12-13 02:48:37.891,4,MozillaWindowClass,0
318,2022-12-13 02:48:37.891,3,firefox.exe,0
319,2022-12-13 02:48:37.891,2,Problem loading page — Mozilla Firefox,0
320,2022-12-13 02:48:46.891,2,AnyConnect Secure Mobility Client Downloader,0
321,2022-12-13 02:48:46.891,3,vpndownloader.exe,0
322,2022-12-13 02:48:46.891,4,#32770,0
323,2022-12-13 02:48:46.891,5,\DISPLAY1,0
324,2022-12-13 02:48:49.891,4,MozillaWindowClass,0
325,2022-12-13 02:48:49.891,5,\DISPLAY1,0
326,2022-12-13 02:48:49.891,2,(81) Why the US Military is Allowed to Have Bases All Over the World - YouTube — Mozilla Firefox,0
327,2022-12-13 02:48:49.891,3,firefox.exe,0
328,2022-12-13 02:55:47.046,2,esrv.exe,0
329,2022-12-13 02:55:47.046,3,VsDebugConsole.exe,0
330,2022-12-13 02:55:47.046,4,ConsoleWindowClass,0
331,2022-12-13 02:55:47.046,5,\DISPLAY1,0
332,2022-12-13 02:55:50.046,5,\DISPLAY1,0
333,2022-12-13 02:55:50.046,2,Notepad,0
334,2022-12-13 02:55:50.046,3,notepad.exe,0
335,2022-12-13 02:55:50.046,4,#32770,0
336,2022-12-13 02:55:53.047,4,Chrome_WidgetWin_1,0
337,2022-12-13 02:55:53.047,5,\DISPLAY1,0
338,2022-12-13 02:55:53.047,2,#announcements | ITS Service Desk - Discord,0
339,2022-12-13 02:55:53.047,3,Discord.exe,0
340,2022-12-13 02:57:14.057,2,"When I Work :: Schedule, Track, Communicate — Mozilla Firefox",0
341,2022-12-13 02:57:14.057,3,firefox.exe,0
342,2022-12-13 02:57:14.057,4,MozillaWindowClass,0
343,2022-12-13 02:57:14.057,5,\DISPLAY1,0
344,2022-12-13 02:58:23.063,2,Team QA (CCG DCA UCSD-HDSI Capstone) | Microsoft Teams,0
345,2022-12-13 02:58:23.063,3,Teams.exe,0
346,2022-12-13 02:58:23.063,4,Chrome_WidgetWin_1,0
347,2022-12-13 02:58:23.063,5,\DISPLAY1,0
348,2022-12-13 02:58:32.063,5,\DISPLAY1,0
349,2022-12-13 02:58:32.063,4,CabinetWClass,0
350,2022-12-13 02:58:32.063,2,C:,0
351,2022-12-13 02:58:32.063,3,explorer.exe,0
352,2022-12-13 02:59:08.067,2,Selected Tab,0
353,2022-12-13 02:59:08.067,3,notepad++.exe,0
354,2022-12-13 02:59:08.067,4,#32770,0
355,2022-12-13 02:59:08.067,5,\DISPLAY1,0
356,2022-12-13 02:59:32.070,4,Windows.UI.Core.CoreWindow,0
357,2022-12-13 02:59:32.070,2,Search,0
358,2022-12-13 02:59:32.070,3,SearchApp.exe,0
359,2022-12-13 02:59:32.070,5,\DISPLAY1,0
360,2022-12-13 02:59:35.071,4,CabinetWClass,0
361,2022-12-13 02:59:35.071,3,explorer.exe,0
362,2022-12-13 02:59:35.071,5,\DISPLAY1,0
363,2022-12-13 02:59:35.071,2,C:,0
364,2022-12-13 02:59:41.072,4,ConsoleWindowClass,0
365,2022-12-13 02:59:41.072,2,cmd.exe,0
366,2022-12-13 02:59:41.072,3,cmd.exe,0
367,2022-12-13 02:59:41.072,5,\DISPLAY1,0
368,2022-12-13 02:59:47.073,2,package,0
369,2022-12-13 02:59:47.073,3,explorer.exe,0
370,2022-12-13 02:59:47.073,4,CabinetWClass,0
371,2022-12-13 02:59:47.073,5,\DISPLAY1,0
372,2022-12-13 02:59:50.073,2,Mozilla Firefox,0
373,2022-12-13 02:59:50.073,3,firefox.exe,0
374,2022-12-13 02:59:50.073,4,MozillaWindowClass,0
375,2022-12-13 02:59:50.073,5,\DISPLAY1,0
376,2022-12-13 02:59:53.073,2,Cisco AnyConnect Secure Mobility Client,0
377,2022-12-13 02:59:53.073,3,vpnui.exe,0
378,2022-12-13 02:59:53.073,5,\DISPLAY1,0
379,2022-12-13 02:59:53.073,4,#32770,0
380,2022-12-13 02:59:56.074,2,Mozilla Firefox,0
381,2022-12-13 02:59:56.074,3,firefox.exe,0
382,2022-12-13 02:59:56.074,5,\DISPLAY1,0
383,2022-12-13 02:59:56.074,4,MozillaWindowClass,0
384,2022-12-13 03:01:11.084,4,Shell_TrayWnd,0
385,2022-12-13 03:01:11.084,5,\DISPLAY1,0
