,Start,Value,Duration
1454,2022-12-17 13:02:15.214,DirectUIHWND,0 days 00:00:07.572000
1455,2022-12-17 13:02:22.786,MozillaWindowClass,0 days 00:00:06.449000
1456,2022-12-17 13:02:29.235,#32770,0 days 00:00:04.789000
1457,2022-12-17 13:02:34.024,MozillaWindowClass,0 days 00:00:01.196000
1458,2022-12-17 13:02:35.220,DirectUIHWND,0 days 00:00:03.626000
1459,2022-12-17 13:02:38.846,#32770,0 days 00:00:01.765000
1460,2022-12-17 13:02:40.611,MozillaWindowClass,0 days 00:01:10.135000
1461,2022-12-17 13:05:12.684,explorer.exe,0 days 00:00:01.153000
1462,2022-12-17 13:05:13.837,cmd.exe,0 days 00:00:02.416000
1463,2022-12-17 13:05:16.253,explorer.exe,0 days 00:00:04.553000
1464,2022-12-17 13:05:20.806,firefox.exe,0 days 00:00:52.501000
1465,2022-12-17 13:06:13.307,explorer.exe,0 days 00:00:02.558000
1466,2022-12-17 13:06:15.865,firefox.exe,0 days 00:00:09.670000
1467,2022-12-17 13:06:25.535,explorer.exe,0 days 00:00:19.875000
1468,2022-12-17 13:06:45.410,firefox.exe,0 days 01:01:17.669000
1469,2022-12-17 14:08:03.079,explorer.exe,0 days 00:00:00.747000
1470,2022-12-17 14:08:03.826,ShellExperienceHost.exe,0 days 00:00:03.874000
1471,2022-12-17 14:08:07.700,firefox.exe,0 days 00:00:01.471000
1472,2022-12-17 14:08:09.171,explorer.exe,0 days 00:00:01.750000
1473,2022-12-17 14:08:10.921,ShellExperienceHost.exe,0 days 00:00:00.234000
1474,2022-12-17 14:08:11.155,explorer.exe,0 days 00:00:00.583000
1475,2022-12-17 14:08:11.738,ShellExperienceHost.exe,0 days 00:00:12.166000
1476,2022-12-17 14:08:23.904,firefox.exe,0 days 01:02:27.536000
1477,2022-12-17 15:10:51.440,explorer.exe,0 days 00:00:03.637000
1478,2022-12-17 15:10:55.077,StartMenuExperienceHost.exe,0 days 00:00:05.965000
1479,2022-12-17 15:11:01.042,SearchApp.exe,0 days 02:32:53.644000
1480,2022-12-17 17:43:54.686,firefox.exe,0 days 00:00:03.019000
1481,2022-12-17 17:43:57.705,Teams.exe,0 days 00:00:03.605000
1482,2022-12-17 17:44:01.310,explorer.exe,0 days 00:00:01.589000
1483,2022-12-17 17:44:02.899,cmd.exe,0 days 00:00:03.142000
1484,2022-12-17 17:44:06.041,firefox.exe,0 days 00:00:01.088000
1485,2022-12-17 17:44:07.129,explorer.exe,0 days 00:00:01.301000
1486,2022-12-17 17:44:08.430,cmd.exe,0 days 00:00:07.320000
1487,2022-12-17 17:44:15.750,explorer.exe,0 days 00:00:01.562000
1488,2022-12-17 17:44:17.312,Discord.exe,0 days 00:00:14.193000
1489,2022-12-17 17:44:31.505,firefox.exe,0 days 00:00:04.777000
1490,2022-12-17 17:44:36.282,explorer.exe,0 days 00:00:02.150000
1491,2022-12-17 17:44:38.432,SearchApp.exe,0 days 00:00:02.661000
1492,2022-12-17 17:44:41.093,firefox.exe,0 days 00:00:14.241000
1493,2022-12-17 17:44:55.334,RiotClientUx.exe,0 days 00:00:13.151000
1494,2022-12-17 17:45:08.485,firefox.exe,0 days 00:05:44.691000
1495,2022-12-17 17:50:53.176,LeagueClientUx.exe,0 days 00:00:50.727000
1496,2022-12-17 17:51:43.903,firefox.exe,0 days 01:28:54.647000
1497,2022-12-17 19:20:38.550,cmd.exe,0 days 00:00:01.812000
1498,2022-12-17 19:20:40.362,firefox.exe,0 days 00:04:38.595000
1499,2022-12-17 19:25:18.957,LeagueClientUx.exe,0 days 00:00:00.662000
1500,2022-12-17 19:25:19.619,firefox.exe,0 days 00:06:34.099000
1501,2022-12-17 19:31:53.718,explorer.exe,0 days 00:00:04.436000
1502,2022-12-17 19:31:58.154,firefox.exe,0 days 00:08:33.074000
1503,2022-12-17 19:40:31.228,LeagueClientUx.exe,0 days 00:00:02.242000
1504,2022-12-17 19:40:33.470,firefox.exe,0 days 00:00:00.812000
1505,2022-12-17 19:40:34.282,explorer.exe,0 days 00:00:03.023000
1506,2022-12-17 19:40:37.305,Discord.exe,0 days 00:00:41.548000
1507,2022-12-17 19:41:18.853,firefox.exe,0 days 00:00:02.984000
1508,2022-12-17 19:41:21.837,LeagueClientUx.exe,0 days 00:00:02.273000
1509,2022-12-17 19:41:24.110,firefox.exe,0 days 00:00:03.345000
1510,2022-12-17 19:41:27.455,LeagueClientUx.exe,0 days 00:00:01.078000
1511,2022-12-17 19:41:28.533,firefox.exe,0 days 00:00:01.556000
1512,2022-12-17 19:41:30.089,LeagueClientUx.exe,0 days 00:00:02.465000
1513,2022-12-17 19:41:32.554,firefox.exe,0 days 00:00:41.555000
1514,2022-12-17 19:42:14.109,LeagueClientUx.exe,0 days 00:00:00.651000
1515,2022-12-17 19:42:14.760,firefox.exe,0 days 00:00:08.090000
1516,2022-12-17 19:42:22.850,explorer.exe,0 days 00:00:01.464000
1517,2022-12-17 19:42:24.314,LeagueClientUx.exe,0 days 00:00:02.785000
1518,2022-12-17 19:42:27.099,firefox.exe,0 days 00:00:10.160000
1519,2022-12-17 19:42:37.259,LeagueClientUx.exe,0 days 00:00:23.030000
1520,2022-12-17 19:43:00.289,firefox.exe,0 days 00:00:04.050000
1521,2022-12-17 19:43:04.339,LeagueClientUx.exe,0 days 00:00:03.855000
1522,2022-12-17 19:43:08.194,firefox.exe,0 days 00:00:01.795000
1523,2022-12-17 19:43:09.989,LeagueClientUx.exe,0 days 00:00:14.912000
1524,2022-12-17 19:43:24.901,firefox.exe,0 days 00:00:13.809000
1525,2022-12-17 19:43:38.710,explorer.exe,0 days 00:00:00.363000
1526,2022-12-17 19:43:39.073,firefox.exe,0 days 00:00:21.336000
1527,2022-12-17 19:44:00.409,League of Legends.exe,0 days 00:17:03.398000
1528,2022-12-17 20:01:03.807,firefox.exe,0 days 00:00:01.660000
1529,2022-12-17 20:01:05.467,LeagueClientUx.exe,0 days 00:00:37.058000
1530,2022-12-17 20:01:42.525,firefox.exe,0 days 00:01:32.280000
1531,2022-12-17 20:03:14.805,LeagueClientUx.exe,0 days 00:00:02.456000
1532,2022-12-17 20:03:17.261,firefox.exe,0 days 00:00:02.384000
1533,2022-12-17 20:03:19.645,explorer.exe,0 days 00:00:08.859000
1534,2022-12-17 20:03:28.504,LeagueClientUx.exe,0 days 00:00:03.635000
1535,2022-12-17 20:03:32.139,firefox.exe,0 days 00:01:15.785000
1536,2022-12-17 20:04:47.924,LeagueClientUx.exe,0 days 00:00:01.733000
