,0
1154,Discord.exe
1155,firefox.exe
1156,Discord.exe
1157,firefox.exe
1158,Discord.exe
1159,firefox.exe
1160,Discord.exe
1161,chrome.exe
1162,firefox.exe
1163,chrome.exe
1164,Talkdesk.exe
1165,chrome.exe
1166,Talkdesk.exe
1167,chrome.exe
1168,Talkdesk.exe
1169,chrome.exe
1170,Talkdesk.exe
1171,chrome.exe
1172,Talkdesk.exe
1173,chrome.exe
1174,Talkdesk.exe
1175,Discord.exe
1176,Talkdesk.exe
1177,Discord.exe
1178,explorer.exe
1179,OUTLOOK.EXE
1180,ScreenClippingHost.exe
1181,Discord.exe
1182,Talkdesk.exe
1183,Discord.exe
1184,chrome.exe
1185,Discord.exe
1186,chrome.exe
1187,explorer.exe
1188,Discord.exe
1189,ScreenClippingHost.exe
1190,Discord.exe
1191,chrome.exe
1192,Discord.exe
1193,chrome.exe
1194,Discord.exe
1195,chrome.exe
1196,Discord.exe
1197,chrome.exe
1198,Discord.exe
1199,chrome.exe
1200,Discord.exe
1201,chrome.exe
1202,notepad++.exe
1203,explorer.exe
1204,notepad++.exe
1205,explorer.exe
1206,notepad++.exe
1207,chrome.exe
1208,Talkdesk.exe
1209,chrome.exe
1210,Discord.exe
1211,chrome.exe
1212,Talkdesk.exe
1213,chrome.exe
1214,Discord.exe
1215,Talkdesk.exe
1216,Discord.exe
1217,chrome.exe
1218,Discord.exe
1219,Talkdesk.exe
1220,Discord.exe
1221,Talkdesk.exe
1222,chrome.exe
1223,Talkdesk.exe
1224,chrome.exe
1225,Discord.exe
1226,chrome.exe
1227,Talkdesk.exe
1228,chrome.exe
1229,Talkdesk.exe
1230,chrome.exe
1231,Talkdesk.exe
1232,Discord.exe
1233,chrome.exe
1234,Discord.exe
1235,chrome.exe
1236,Discord.exe
1237,chrome.exe
1238,Discord.exe
1239,chrome.exe
1240,Discord.exe
1241,chrome.exe
1242,Discord.exe
1243,chrome.exe
1244,Discord.exe
1245,chrome.exe
1246,Discord.exe
1247,chrome.exe
1248,Discord.exe
1249,chrome.exe
1250,Discord.exe
1251,chrome.exe
1252,Talkdesk.exe
1253,Discord.exe
1254,chrome.exe
1255,Discord.exe
1256,chrome.exe
1257,Discord.exe
1258,firefox.exe
1259,chrome.exe
1260,Discord.exe
1261,firefox.exe
1262,chrome.exe
1263,OUTLOOK.EXE
1264,chrome.exe
1265,Talkdesk.exe
1266,chrome.exe
1267,Discord.exe
1268,chrome.exe
1269,Talkdesk.exe
1270,chrome.exe
1271,Talkdesk.exe
1272,chrome.exe
1273,Discord.exe
1274,chrome.exe
1275,Discord.exe
1276,chrome.exe
1277,Discord.exe
1278,Talkdesk.exe
1279,chrome.exe
1280,Discord.exe
1281,chrome.exe
1282,Talkdesk.exe
1283,chrome.exe
1284,Discord.exe
1285,chrome.exe
1286,Discord.exe
1287,Talkdesk.exe
1288,chrome.exe
1289,Discord.exe
1290,chrome.exe
1291,Talkdesk.exe
1292,chrome.exe
1293,Discord.exe
1294,Talkdesk.exe
1295,chrome.exe
1296,Discord.exe
1297,firefox.exe
1298,Discord.exe
1299,chrome.exe
1300,Discord.exe
1301,chrome.exe
1302,Discord.exe
1303,chrome.exe
1304,firefox.exe
1305,chrome.exe
1306,Discord.exe
1307,chrome.exe
1308,Discord.exe
1309,chrome.exe
1310,Discord.exe
1311,chrome.exe
1312,Talkdesk.exe
1313,chrome.exe
1314,Talkdesk.exe
1315,chrome.exe
1316,Teams.exe
1317,Discord.exe
1318,chrome.exe
1319,Discord.exe
1320,chrome.exe
1321,Discord.exe
1322,chrome.exe
1323,Discord.exe
1324,chrome.exe
1325,Discord.exe
1326,chrome.exe
1327,Talkdesk.exe
1328,chrome.exe
1329,Discord.exe
1330,chrome.exe
1331,Discord.exe
1332,chrome.exe
1333,Discord.exe
1334,Talkdesk.exe
1335,Discord.exe
1336,chrome.exe
1337,ScreenClippingHost.exe
1338,chrome.exe
1339,Discord.exe
1340,chrome.exe
1341,Discord.exe
1342,chrome.exe
1343,Discord.exe
1344,chrome.exe
1345,Discord.exe
1346,chrome.exe
1347,Talkdesk.exe
1348,chrome.exe
1349,Talkdesk.exe
1350,chrome.exe
1351,Talkdesk.exe
1352,chrome.exe
1353,Discord.exe
1354,chrome.exe
1355,Discord.exe
1356,chrome.exe
1357,Discord.exe
1358,Talkdesk.exe
1359,chrome.exe
1360,Talkdesk.exe
1361,chrome.exe
1362,Talkdesk.exe
1363,chrome.exe
1364,Talkdesk.exe
