MEASUREMENT_TIME,VALUE
2022-12-13 21:51:22.846,chrome.exe
2022-12-13 21:51:46.849,Discord.exe
2022-12-13 21:52:13.851,chrome.exe
2022-12-13 21:53:13.857,Discord.exe
2022-12-13 21:53:22.858,chrome.exe
2022-12-13 21:53:55.862,Discord.exe
2022-12-13 21:54:19.864,chrome.exe
2022-12-13 22:13:38.020,Talkdesk.exe
2022-12-13 22:13:41.021,OUTLOOK.EXE
2022-12-13 22:13:44.021,chrome.exe
2022-12-13 22:21:50.081,Talkdesk.exe
2022-12-13 22:21:59.083,chrome.exe
2022-12-13 22:24:05.101,Talkdesk.exe
2022-12-13 22:24:08.101,chrome.exe
2022-12-13 22:24:23.103,Discord.exe
2022-12-13 22:25:02.107,chrome.exe
2022-12-13 22:25:20.109,Discord.exe
2022-12-13 22:25:23.110,chrome.exe
2022-12-13 22:26:41.121,explorer.exe
2022-12-13 22:26:44.122,Zoom.exe
2022-12-13 22:26:59.124,firefox.exe
2022-12-13 22:27:02.124,Zoom.exe
2022-12-13 22:27:05.124,chrome.exe
2022-12-13 22:28:08.133,Zoom.exe
2022-12-13 22:28:14.135,Discord.exe
2022-12-13 22:28:23.136,chrome.exe
2022-12-13 22:29:26.147,devenv.exe
2022-12-13 22:29:29.147,VsDebugConsole.exe
2022-12-13 22:29:38.149,chrome.exe
2022-12-13 22:29:44.151,explorer.exe
2022-12-13 22:29:47.151,Zoom.exe
2022-12-13 22:29:53.152,chrome.exe
2022-12-13 22:29:59.153,Discord.exe
2022-12-13 22:30:05.153,chrome.exe
2022-12-13 22:32:56.177,VsDebugConsole.exe
2022-12-13 22:32:59.177,firefox.exe
2022-12-13 22:39:11.227,chrome.exe
2022-12-13 22:39:17.229,Zoom.exe
2022-12-13 22:39:23.230,chrome.exe
2022-12-13 22:39:47.234,Zoom.exe
2022-12-13 22:41:50.252,chrome.exe
2022-12-13 22:41:56.253,Teams.exe
2022-12-13 22:42:11.256,chrome.exe
2022-12-13 22:42:41.261,Teams.exe
2022-12-13 22:42:44.261,chrome.exe
2022-12-13 22:43:53.272,Zoom.exe
2022-12-13 22:44:29.275,Teams.exe
2022-12-13 22:44:35.276,OUTLOOK.EXE
2022-12-13 22:44:53.279,chrome.exe
2022-12-13 22:45:32.285,explorer.exe
2022-12-13 22:45:35.285,Zoom.exe
2022-12-13 22:45:44.286,chrome.exe
2022-12-13 22:46:08.290,Zoom.exe
2022-12-13 22:47:35.301,OUTLOOK.EXE
2022-12-13 22:47:38.301,chrome.exe
2022-12-13 22:47:50.302,firefox.exe
2022-12-13 22:47:53.303,chrome.exe
2022-12-13 22:48:20.306,Discord.exe
2022-12-13 22:48:23.306,explorer.exe
2022-12-13 22:48:26.307,chrome.exe
2022-12-13 22:48:59.312,Discord.exe
2022-12-13 22:49:23.315,chrome.exe
2022-12-13 22:49:44.319,Discord.exe
2022-12-13 22:49:56.321,chrome.exe
2022-12-13 22:50:05.322,Discord.exe
2022-12-13 22:50:14.323,firefox.exe
2022-12-13 22:50:32.326,Discord.exe
2022-12-13 22:51:44.337,chrome.exe
2022-12-13 22:51:47.338,Discord.exe
2022-12-13 22:51:56.339,chrome.exe
2022-12-13 22:51:59.339,Discord.exe
2022-12-13 22:53:14.348,chrome.exe
2022-12-13 22:53:17.348,Discord.exe
2022-12-13 22:53:50.354,chrome.exe
2022-12-13 22:54:02.355,Discord.exe
2022-12-13 22:54:44.360,chrome.exe
2022-12-13 22:54:53.361,firefox.exe
2022-12-13 22:54:56.361,chrome.exe
2022-12-13 22:55:02.363,firefox.exe
2022-12-13 22:55:56.371,Discord.exe
2022-12-13 22:56:05.372,chrome.exe
2022-12-13 22:56:08.372,Discord.exe
2022-12-13 22:56:20.374,chrome.exe
2022-12-13 22:56:35.375,Discord.exe
